city_clean,state_clean,population,city_tier
mumbai,maharashtra,11978450.0,Tier 1
delhi,delhi,9879172.0,Tier 1
bangalore,karnataka,4301326.0,Tier 1
hyderabad,telangana,3637483.0,Tier 1
ahmedabad,gujarat,3520085.0,Tier 1
chennai,tamil nadu,4343645.0,Tier 1
kolkata,west bengal,4572876.0,Tier 1
surat,gujarat,2433835.0,Tier 1
pune,maharashtra,2538473.0,Tier 1
jaipur,rajasthan,2322575.0,Tier 1
lucknow,uttar pradesh,2185927.0,Tier 1
kanpur,uttar pradesh,2551337.0,Tier 1
nagpur,maharashtra,2052066.0,Tier 1
indore,madhya pradesh,1474968.0,Tier 1
thane,maharashtra,1262551.0,Tier 1
bhopal,madhya pradesh,1437354.0,Tier 1
visakhapatnam,andhra pradesh,1345938.0,Tier 1
pimprichinchwad,maharashtra,1012472.0,Tier 1
patna,bihar,1366444.0,Tier 1
vadodara,gujarat,1306227.0,Tier 1
ghaziabad,uttar pradesh,968256.0,Tier 2
ludhiana,punjab,1398467.0,Tier 1
agra,uttar pradesh,1275134.0,Tier 1
nashik,maharashtra,1077236.0,Tier 1
ranchi,jharkhand,1079968.0,Tier 1
faridabad,haryana,1055938.0,Tier 1
meerut,uttar pradesh,1039405.0,Tier 1
rajkot,gujarat,967476.0,Tier 2
kalyandombivli,maharashtra,1193512.0,Tier 1
vasaivirar,maharashtra,693350.0,Tier 2
varanasi,uttar pradesh,1091918.0,Tier 1
srinagar,jammu and kashmir,898440.0,Tier 2
aurangabad,maharashtra,873311.0,Tier 2
dhanbad,jharkhand,1065327.0,Tier 1
amritsar,punjab,966862.0,Tier 2
allahabad,uttar pradesh,975393.0,Tier 2
howrah,west bengal,1007532.0,Tier 1
gwalior,madhya pradesh,827026.0,Tier 2
jabalpur,madhya pradesh,932484.0,Tier 2
coimbatore,tamil nadu,930882.0,Tier 2
vijayawada,andhra pradesh,851282.0,Tier 2
jodhpur,rajasthan,851051.0,Tier 2
madurai,tamil nadu,928869.0,Tier 2
raipur,chhattisgarh,605747.0,Tier 2
kota,rajasthan,694316.0,Tier 2
chandigarh,chandigarh,808515.0,Tier 2
guwahati,assam,809895.0,Tier 2
solapur,maharashtra,872478.0,Tier 2
hublidharwad,karnataka,786195.0,Tier 2
mysore,karnataka,762408.0,Tier 2
tiruchirappalli,tamil nadu,752066.0,Tier 2
bareilly,uttar pradesh,718395.0,Tier 2
aligarh,uttar pradesh,672315.0,Tier 2
tiruppur,tamil nadu,344543.0,Tier 3
gurgaon,haryana,173542.0,Tier 3
moradabad,uttar pradesh,669087.0,Tier 2
jalandhar,punjab,706043.0,Tier 2
bhubaneswar,odisha,648032.0,Tier 2
salem,tamil nadu,696760.0,Tier 2
warangal,telangana,530636.0,Tier 2
mirabhayandar,maharashtra,520388.0,Tier 2
jalgaon,maharashtra,462280.0,Tier 3
guntur,andhra pradesh,514461.0,Tier 2
thiruvananthapuram,kerala,368618.0,Tier 3
bhiwandi,maharashtra,598741.0,Tier 2
saharanpur,uttar pradesh,455754.0,Tier 3
gorakhpur,uttar pradesh,622701.0,Tier 2
bikaner,rajasthan,529690.0,Tier 2
